movie,name,age,awarded,rate,boxoffice,budget,yield,goldenglobe,critic
Driving Miss Daisy,Morgan Freeman,1937,0,81,145793296,,-,0,-
Dead Poets Society,Robin Williams,1951,0,84,235860116,,-,1,-
Reversal of Fortune,Jeremy Irons,1948,1,94,15445131,,-,2,-
Dances with Wolves,Kevin Costner,1955,0,82,424208848,22000000,19.28222036,1,-
Awakenings,Robert De Niro,1943,0,-,52096475,,-,0,-
Cyrano de Bergerac,Gérard Depardieu,1948,0,-,5822041,,-,0,-
The Field,Richard Harris,1930,0,-,1494399,,-,1,-
The Silence of the Lambs,Anthony Hopkins,1937,1,96,272753884,19000000,14.35546758,1,-
Bugsy,Warren Beatty,1937,0,85,49114016,,-,1,-
Cape Fear,Robert De Niro,1943,0,-,182291969,,-,1,-
The Prince of Tides,Nick Nolte,1941,0,-,74787599,,-,2,-
The Fisher King,Robin Williams,1951,0,-,41895491,,-,0,-
Scent of a Woman,Al Pacino,1940,1,-,134095253,,-,2,-
Chaplin,Robert Downey Jr.,1965,0,60,9493259,,-,1,-
Unforgiven,Clint Eastwood,1930,0,-,159157447,,-,0,-
The Crying Game,Stephen Rea,1946,0,-,62548947,,-,0,-
Malcolm X,Denzel Washington,1954,0,-,48169910,,-,1,-
Philadelphia,Tom Hanks,1956,1,80,206678440,26000000,7.949170769,2,-
In the Name of the Father,Daniel Day-Lewis,1957,0,94,65796862,,-,1,-
What's Love Got to Do with It,Laurence Fishburne,1961,0,-,39100956,,-,0,-
The Remains of the Day,Anthony Hopkins,1937,0,-,23237911,,-,1,-
Schindler's List,Liam Neeson,1952,0,-,322243445,22000000,14.64742932,1,-
Forrest Gump,Tom Hanks,1956,1,72,678151134,55000000,12.33002062,2,-
The Shawshank Redemption,Morgan Freeman,1937,0,90,28786657,25000000,1.15146628,1,-
The Madness of King George,Nigel Hawthorne,1929,0,-,15238689,,-,0,-
Nobody's Fool,Paul Newman,1925,0,-,33532593,19000000,1.764873316,1,-
Pulp Fiction,John Travolta,1954,0,92,214179088,8000000,26.772386,1,-
Leaving Las Vegas,Nicolas Cage,1964,1,90,32029928,,-,2,0
Mr. Holland's Opus,Richard Dreyfuss,1947,0,-,106269971,,-,1,0
Nixon,Anthony Hopkins,1937,0,74,13681765,44000000,0.310949205,1,0
Dead Man Walking,Sean Penn,1960,0,62,39363635,,-,1,0
Il Postino: The Postman,Massimo Troisi,1953,0,-,-,-,-,0,0
Shine,Geoffrey Rush,1951,1,91,35994719,,-,2,2
Jerry Maguire,Tom Cruise,1962,0,83,273552592,50000000,5.47105184,0,0
The English Patient,Ralph Fiennes,1962,0,-,231976425,27000000,8.591719444,1,0
The People vs. Larry Flynt,Woody Harrelson,1961,0,-,20300385,,-,1,0
Sling Blade,Billy Bob Thornton,1955,0,96,24444121,1000000,24.444121,0,0
As Good as It Gets,Jack Nicholson,1937,1,85,314178011,50000000,6.28356022,0,2
Good Will Hunting,Matt Damon,1970,0,97,225933435,,-,1,0
The Apostle,Robert Duvall,1931,0,90,19868354,,-,0,0
Ulee's Gold,Peter Fonda,1940,0,-,9161691,,-,2,0
Wag the Dog,Dustin Hoffman,1937,0,85,64256513,,-,0,0
Life Is Beautiful,Roberto Benigni,1952,1,-,230098753,,-,0,0
Saving Private Ryan,Tom Hanks,1956,0,93,482349603,70000000,6.890708614,1,0
Gods and Monsters,Ian McKellen,1939,0,95,6451628,10000000,0.6451628,1,2
Affliction,Nick Nolte,1941,0,88,6330054,6000000,1.055009,1,0
American History X,Edward Norton,1969,0,83,23875127,20000000,1.19375635,0,0
American Beauty,Kevin Spacey,1959,1,87,356296601,15000000,23.75310673,1,0
The Insider,Russell Crowe,1964,0,-,60289912,90000000,0.669887911,1,2
The Straight Story,Richard Farnsworth,1920,0,-,6416325,,-,1,0
Sweet and Lowdown,Sean Penn,1960,0,77,4525794,,-,0,0
The Hurricane,Denzel Washington,1954,0,-,73956241,50000000,1.47912482,2,0
Gladiator,Russell Crowe,1964,1,76,460583960,103000000,4.471688932,1,2
Before Night Falls,Javier Bardem,1969,0,73,8601053,,-,1,0
Cast Away,Tom Hanks,1956,0,88,429632142,90000000,4.773690467,2,0
Pollock,Ed Harris,1950,0,81,10994533,,-,0,0
Quills,Geoffrey Rush,1951,0,75,17989227,,-,1,0
Training Day,Denzel Washington,1954,1,72,104876233,,-,1,0
A Beautiful Mind,Russell Crowe,1964,0,74,316791257,58000000,5.461918224,2,2
I Am Sam,Sean Penn,1960,0,35,97818139,,-,0,1
Ali,Will Smith,1968,0,67,87812729,107000000,0.82067971,1,1
In the Bedroom,Tom Wilkinson,1948,0,93,44763181,1700000,26.33128294,0,0
The Pianist,Adrien Brody,1973,1,33,120072577,35000000,3.430645057,1,0
Adaptation,Nicolas Cage,1964,0,-,-,-,-,0,0
The Quiet American,Michael Caine,1933,0,-,27674124,30000000,0.9224708,1,0
Gangs of New York,Daniel Day-Lewis,1957,0,73,193772504,100000000,1.93772504,1,2
About Schmidt,Jack Nicholson,1937,0,85,105834556,30000000,3.527818533,2,0
Mystic River,Sean Penn,1960,1,88,156595191,25000000,6.26380764,2,2
